ticker,name,sector,sub_industry,date_added,source
TTD,Trade Desk (The),Communication Services,Advertising,2025-07-18,wikipedia_current
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2014-01-24,wikipedia_current
TT,Trane Technologies,Industrials,Building Products,2010-11-17,wikipedia_current
TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03,wikipedia_current
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2002-08-21,wikipedia_current
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,2021-01-21,wikipedia_current
TFC,Truist Financial,Financials,Diversified Banks,1997-12-04,wikipedia_current
TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22,wikipedia_current
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2005-08-10,wikipedia_current
USB,U.S. Bancorp,Financials,Diversified Banks,1999-11-01,wikipedia_current
UBER,Uber,Industrials,Passenger Ground Transportation,2023-12-18,wikipedia_current
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2016-03-07,wikipedia_current
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2016-04-18,wikipedia_current
UNP,Union Pacific Corporation,Industrials,Rail Transportation,1957-03-04,wikipedia_current
UAL,United Airlines Holdings,Industrials,Passenger Airlines,2015-09-03,wikipedia_current
UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22,wikipedia_current
URI,United Rentals,Industrials,Trading Companies & Distributors,2014-09-20,wikipedia_current
UNH,UnitedHealth Group,Health Care,Managed Health Care,1994-07-01,wikipedia_current
UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20,wikipedia_current
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2002-12-20,wikipedia_current
VTR,Ventas,Real Estate,Health Care REITs,2009-03-04,wikipedia_current
VLTO,Veralto,Industrials,Environmental & Facilities Services,2023-10-02,wikipedia_current
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006-02-01,wikipedia_current
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08,wikipedia_current
VZ,Verizon,Communication Services,Integrated Telecommunication Services,1983-11-30,wikipedia_current
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2013-09-23,wikipedia_current
VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23,wikipedia_current
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2022-06-08,wikipedia_current
V,Visa Inc.,Financials,Transaction & Payment Processing Services,2009-12-21,wikipedia_current
VST,Vistra Corp.,Utilities,Electric Utilities,2024-05-08,wikipedia_current
VMC,Vulcan Materials Company,Materials,Construction Materials,1999-06-30,wikipedia_current
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2019-12-05,wikipedia_current
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1981-06-30,wikipedia_current
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2019-02-27,wikipedia_current
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1982-08-31,wikipedia_current
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,1976-06-30,wikipedia_current
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,2022-04-11,wikipedia_current
WM,Waste Management,Industrials,Environmental & Facilities Services,1998-08-31,wikipedia_current
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,2002-01-02,wikipedia_current
WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31,wikipedia_current
WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30,wikipedia_current
WELL,Welltower,Real Estate,Health Care REITs,2009-01-30,wikipedia_current
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22,wikipedia_current
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,wikipedia_current
WY,Weyerhaeuser,Real Estate,Timber REITs,1979-10-01,wikipedia_current
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2025-03-24,wikipedia_current
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31,wikipedia_current
WTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05,wikipedia_current
WDAY,"Workday, Inc.",Information Technology,Application Software,2024-12-23,wikipedia_current
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008-11-14,wikipedia_current
