ticker,name,sector,sub_industry,date_added,source
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-12-14,wikipedia_current
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2022-10-03,wikipedia_current
EFX,Equifax,Industrials,Research & Consulting Services,1997-06-19,wikipedia_current
EQIX,Equinix,Real Estate,Data Center REITs,2015-03-20,wikipedia_current
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,2001-12-03,wikipedia_current
ERIE,Erie Indemnity,Financials,Insurance Brokers,2024-09-23,wikipedia_current
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2014-04-02,wikipedia_current
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,2006-01-05,wikipedia_current
EG,Everest Group,Financials,Reinsurance,2017-06-19,wikipedia_current
EVRG,Evergy,Utilities,Electric Utilities,2018-06-05,wikipedia_current
ES,Eversource Energy,Utilities,Electric Utilities,2009-07-24,wikipedia_current
EXC,Exelon,Utilities,Electric Utilities,1957-03-04,wikipedia_current
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,2025-03-24,wikipedia_current
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2007-10-02,wikipedia_current
EXPD,Expeditors International,Industrials,Air Freight & Logistics,2007-10-10,wikipedia_current
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2016-01-19,wikipedia_current
XOM,ExxonMobil,Energy,Integrated Oil & Gas,1957-03-04,wikipedia_current
FFIV,"F5, Inc.",Information Technology,Communications Equipment,2010-12-20,wikipedia_current
FDS,FactSet,Financials,Financial Exchanges & Data,2021-12-20,wikipedia_current
FICO,Fair Isaac,Information Technology,Application Software,2023-03-20,wikipedia_current
FAST,Fastenal,Industrials,Trading Companies & Distributors,2008-09-15,wikipedia_current
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2016-02-01,wikipedia_current
FDX,FedEx,Industrials,Air Freight & Logistics,1980-12-31,wikipedia_current
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,2006-11-10,wikipedia_current
FITB,Fifth Third Bancorp,Financials,Regional Banks,1996-03-29,wikipedia_current
FSLR,First Solar,Information Technology,Semiconductors,2022-12-19,wikipedia_current
FE,FirstEnergy,Utilities,Electric Utilities,1997-11-28,wikipedia_current
FISV,Fiserv,Financials,Transaction & Payment Processing Services,2001-04-02,wikipedia_current
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1957-03-04,wikipedia_current
FTNT,Fortinet,Information Technology,Systems Software,2018-10-11,wikipedia_current
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,2016-07-01,wikipedia_current
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2019-03-19,wikipedia_current
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,2019-03-19,wikipedia_current
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1998-04-30,wikipedia_current
FCX,Freeport-McMoRan,Materials,Copper,2011-07-01,wikipedia_current
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2012-12-12,wikipedia_current
IT,Gartner,Information Technology,IT Consulting & Other Services,2017-04-05,wikipedia_current
GE,GE Aerospace,Industrials,Aerospace & Defense,1957-03-04,wikipedia_current
GEHC,GE HealthCare,Health Care,Health Care Equipment,2023-01-04,wikipedia_current
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,2024-04-02,wikipedia_current
GEN,Gen Digital,Information Technology,Systems Software,2003-03-25,wikipedia_current
GNRC,Generac,Industrials,Electrical Components & Equipment,2021-03-22,wikipedia_current
GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04,wikipedia_current
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1957-03-04,wikipedia_current
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06,wikipedia_current
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,1973-12-31,wikipedia_current
GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01,wikipedia_current
GPN,Global Payments,Financials,Transaction & Payment Processing Services,2016-04-25,wikipedia_current
GL,Globe Life,Financials,Life & Health Insurance,1989-04-30,wikipedia_current
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2024-06-24,wikipedia_current
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,2002-07-22,wikipedia_current
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1957-03-04,wikipedia_current
HIG,Hartford (The),Financials,Property & Casualty Insurance,1957-03-04,wikipedia_current
HAS,Hasbro,Consumer Discretionary,Leisure Products,1984-09-30,wikipedia_current
HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27,wikipedia_current
DOC,Healthpeak Properties,Real Estate,Health Care REITs,2008-03-31,wikipedia_current
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,wikipedia_current
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,1957-03-04,wikipedia_current
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,wikipedia_current
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,wikipedia_current
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,wikipedia_current
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,1988-03-31,wikipedia_current
HON,Honeywell,Industrials,Industrial Conglomerates,1957-03-04,wikipedia_current
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,2009-03-04,wikipedia_current
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,wikipedia_current
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2016-10-21,wikipedia_current
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,wikipedia_current
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,2023-10-18,wikipedia_current
HUM,Humana,Health Care,Managed Health Care,2012-12-10,wikipedia_current
HBAN,Huntington Bancshares,Financials,Regional Banks,1997-08-28,wikipedia_current
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,wikipedia_current
IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,wikipedia_current
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2019-08-09,wikipedia_current
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,wikipedia_current
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,1986-02-28,wikipedia_current
INCY,Incyte,Health Care,Biotechnology,2017-02-28,wikipedia_current
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,2020-03-03,wikipedia_current
PODD,Insulet Corporation,Health Care,Health Care Equipment,2023-03-15,wikipedia_current
INTC,Intel,Information Technology,Semiconductors,1976-12-31,wikipedia_current
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2025-08-28,wikipedia_current
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,wikipedia_current
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,wikipedia_current
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1957-03-04,wikipedia_current
INTU,Intuit,Information Technology,Application Software,2000-12-05,wikipedia_current
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02,wikipedia_current
IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21,wikipedia_current
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2022-09-19,wikipedia_current
IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29,wikipedia_current
IRM,Iron Mountain,Real Estate,Other Specialized REITs,2009-01-06,wikipedia_current
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,2015-07-01,wikipedia_current
JBL,Jabil,Information Technology,Electronic Manufacturing Services,2023-12-18,wikipedia_current
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2018-11-13,wikipedia_current
J,Jacobs Solutions,Industrials,Construction & Engineering,2007-10-26,wikipedia_current
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,wikipedia_current
JCI,Johnson Controls,Industrials,Building Products,2010-08-27,wikipedia_current
JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30,wikipedia_current
KVUE,Kenvue,Consumer Staples,Personal Care Products,2023-08-25,wikipedia_current
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2022-06-21,wikipedia_current
KEY,KeyCorp,Financials,Regional Banks,1994-03-01,wikipedia_current
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2018-11-06,wikipedia_current
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,wikipedia_current
KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,wikipedia_current
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,wikipedia_current
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,2024-06-24,wikipedia_current
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,1997-09-30,wikipedia_current
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06,wikipedia_current
KR,Kroger,Consumer Staples,Food Retail,1957-03-04,wikipedia_current
LHX,L3Harris,Industrials,Aerospace & Defense,2008-09-22,wikipedia_current
LH,Labcorp,Health Care,Health Care Services,2004-11-01,wikipedia_current
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2012-06-29,wikipedia_current
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03,wikipedia_current
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,wikipedia_current
LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09,wikipedia_current
LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04,wikipedia_current
LII,Lennox International,Industrials,Building Products,2024-12-23,wikipedia_current
LLY,Lilly (Eli),Health Care,Pharmaceuticals,1970-12-31,wikipedia_current
LIN,Linde plc,Materials,Industrial Gases,1992-07-01,wikipedia_current
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,wikipedia_current
LMT,Lockheed Martin,Industrials,Aerospace & Defense,1957-03-04,wikipedia_current
L,Loews Corporation,Financials,Multi-line Insurance,1995-05-31,wikipedia_current
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29,wikipedia_current
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2023-10-18,wikipedia_current
LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,wikipedia_current
MTB,M&T Bank,Financials,Regional Banks,2004-02-23,wikipedia_current
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,wikipedia_current
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-05-29,wikipedia_current
MRSH,Marsh McLennan,Financials,Insurance Brokers,1987-08-31,wikipedia_current
MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02,wikipedia_current
MAS,Masco,Industrials,Building Products,1981-06-30,wikipedia_current
MA,Mastercard,Financials,Transaction & Payment Processing Services,2008-07-18,wikipedia_current
MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20,wikipedia_current
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003-03-20,wikipedia_current
MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30,wikipedia_current
MCK,McKesson Corporation,Health Care,Health Care Distributors,1999-01-13,wikipedia_current
MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31,wikipedia_current
MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04,wikipedia_current
META,Meta Platforms,Communication Services,Interactive Media & Services,2013-12-23,wikipedia_current
MET,MetLife,Financials,Life & Health Insurance,2000-12-11,wikipedia_current
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,wikipedia_current
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2017-07-26,wikipedia_current
MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07,wikipedia_current
MU,Micron Technology,Information Technology,Semiconductors,1994-09-27,wikipedia_current
MSFT,Microsoft,Information Technology,Systems Software,1994-06-01,wikipedia_current
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,2016-12-02,wikipedia_current
MRNA,Moderna,Health Care,Biotechnology,2021-07-21,wikipedia_current
MOH,Molina Healthcare,Health Care,Managed Health Care,2022-03-02,wikipedia_current
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30,wikipedia_current
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,wikipedia_current
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12,wikipedia_current
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2012-06-28,wikipedia_current
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1998-07-01,wikipedia_current
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1993-07-29,wikipedia_current
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,2011-09-26,wikipedia_current
MSI,Motorola Solutions,Information Technology,Communications Equipment,1957-03-04,wikipedia_current
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,2018-04-04,wikipedia_current
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22,wikipedia_current
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,wikipedia_current
NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20,wikipedia_current
NEM,Newmont,Materials,Gold,1969-06-30,wikipedia_current
NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01,wikipedia_current
NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18,wikipedia_current
NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,wikipedia_current
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,wikipedia_current
NI,NiSource,Utilities,Multi-Utilities,2000-11-02,wikipedia_current
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,2022-02-15,wikipedia_current
NSC,Norfolk Southern,Industrials,Rail Transportation,1957-03-04,wikipedia_current
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1998-01-30,wikipedia_current
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1957-03-04,wikipedia_current
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,wikipedia_current
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,wikipedia_current
NUE,Nucor,Materials,Steel,1985-04-30,wikipedia_current
NVDA,Nvidia,Information Technology,Semiconductors,2001-11-30,wikipedia_current
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019-09-26,wikipedia_current
NXPI,NXP Semiconductors,Information Technology,Semiconductors,2021-03-22,wikipedia_current
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,2009-03-27,wikipedia_current
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1957-03-04,wikipedia_current
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,2019-12-09,wikipedia_current
OMC,Omnicom Group,Communication Services,Advertising,1997-12-31,wikipedia_current
ON,ON Semiconductor,Information Technology,Semiconductors,2022-06-21,wikipedia_current
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2010-03-15,wikipedia_current
ORCL,Oracle Corporation,Information Technology,Application Software,1989-08-31,wikipedia_current
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,2020-04-03,wikipedia_current
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,1980-12-31,wikipedia_current
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,2017-07-26,wikipedia_current
PLTR,Palantir Technologies,Information Technology,Application Software,2024-09-23,wikipedia_current
PANW,Palo Alto Networks,Information Technology,Systems Software,2023-06-20,wikipedia_current
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,1994-09-30,wikipedia_current
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,1985-11-30,wikipedia_current
PAYX,Paychex,Industrials,Human Resource & Employment Services,1998-10-01,wikipedia_current
PAYC,Paycom,Industrials,Human Resource & Employment Services,2020-01-28,wikipedia_current
PYPL,PayPal,Financials,Transaction & Payment Processing Services,2015-07-20,wikipedia_current
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,2012-10-01,wikipedia_current
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04,wikipedia_current
PFE,Pfizer,Health Care,Pharmaceuticals,1957-03-04,wikipedia_current
PCG,PG&E Corporation,Utilities,Multi-Utilities,2022-10-03,wikipedia_current
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,wikipedia_current
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01,wikipedia_current
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,1999-10-04,wikipedia_current
PNC,PNC Financial Services,Financials,Diversified Banks,1988-04-30,wikipedia_current
POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07,wikipedia_current
PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04,wikipedia_current
PPL,PPL Corporation,Utilities,Electric Utilities,2001-10-01,wikipedia_current
